
|   ID  |    x    |      y     |
|  3277 | 0.32500 |    0.49064 |
|  3279 | 0.77800 |    2.60304 |
|  3278 | 0.54600 |    1.17818 |
|  3276 | 0.07800 |    0.08482 |
|  3277 | 0.32600 |    0.49288 |
|  3279 | 0.77900 |    2.61176 |
|  3278 | 0.54700 |    1.18240 |
|  3276 | 0.07900 |    0.08600 |
|  3277 | 0.32700 |    0.49513 |
|  3279 | 0.78000 |    2.62050 |
|  3278 | 0.54800 |    1.18663 |
|  3276 | 0.08000 |    0.08719 |
|  3277 | 0.32800 |    0.49739 |
|  3279 | 0.78100 |    2.62928 |
|  3278 | 0.54900 |    1.19087 |
|  3276 | 0.08100 |    0.08838 |
|  3277 | 0.32900 |    0.49965 |
|  3279 | 0.78200 |    2.63808 |
|  3278 | 0.55000 |    1.19512 |
|  3276 | 0.08200 |    0.08958 |
|  3277 | 0.33000 |    0.50192 |
|  3279 | 0.78300 |    2.64692 |
|  3278 | 0.55100 |    1.19939 |
|  3276 | 0.08300 |    0.09077 |
|  3277 | 0.33100 |    0.50419 |
|  3279 | 0.78400 |    2.65578 |
|  3278 | 0.55200 |    1.20367 |
|  3276 | 0.08400 |    0.09197 |
|  3277 | 0.33200 |    0.50647 |
|  3279 | 0.78500 |    2.66467 |
|  3278 | 0.55300 |    1.20796 |
|  3276 | 0.08500 |    0.09318 |
|  3277 | 0.33300 |    0.50876 |
|  3279 | 0.78600 |    2.67360 |
|  3278 | 0.55400 |    1.21227 |
|  3276 | 0.08600 |    0.09438 |
|  3277 | 0.33400 |    0.51105 |
|  3279 | 0.78700 |    2.68255 |
|  3278 | 0.55500 |    1.21659 |
|  3276 | 0.08700 |    0.09559 |
|  3277 | 0.33500 |    0.51336 |
|  3279 | 0.78800 |    2.69154 |
|  3278 | 0.55600 |    1.22092 |
|  3276 | 0.08800 |    0.09680 |
|  3277 | 0.33600 |    0.51566 |
|  3279 | 0.78900 |    2.70055 |
|  3278 | 0.55700 |    1.22526 |
|  3276 | 0.08900 |    0.09801 |
|  3277 | 0.33700 |    0.51797 |
|  3279 | 0.79000 |    2.70959 |
|  3278 | 0.55800 |    1.22962 |
|  3276 | 0.09000 |    0.09923 |
|  3277 | 0.33800 |    0.52029 |
|  3279 | 0.79100 |    2.71867 |
|  3278 | 0.55900 |    1.23399 |
|  3276 | 0.09100 |    0.10045 |
|  3277 | 0.33900 |    0.52262 |
|  3279 | 0.79200 |    2.72778 |
|  3278 | 0.56000 |    1.23837 |
|  3276 | 0.09200 |    0.10167 |
|  3277 | 0.34000 |    0.52495 |
|  3279 | 0.79300 |    2.73691 |
|  3278 | 0.56100 |    1.24276 |
|  3276 | 0.09300 |    0.10290 |
|  3277 | 0.34100 |    0.52729 |
|  3279 | 0.79400 |    2.74608 |
|  3278 | 0.56200 |    1.24717 |
|  3276 | 0.09400 |    0.10413 |
|  3277 | 0.34200 |    0.52964 |
|  3279 | 0.79500 |    2.75528 |
|  3278 | 0.56300 |    1.25159 |
|  3276 | 0.09500 |    0.10536 |
|  3277 | 0.34300 |    0.53199 |
|  3279 | 0.79600 |    2.76451 |
|  3278 | 0.56400 |    1.25603 |
|  3276 | 0.09600 |    0.10659 |
|  3277 | 0.34400 |    0.53435 |
|  3279 | 0.79700 |    2.77377 |
|  3278 | 0.56500 |    1.26048 |
|  3276 | 0.09700 |    0.10783 |
|  3277 | 0.34500 |    0.53671 |
|  3279 | 0.79800 |    2.78307 |
|  3278 | 0.56600 |    1.26494 |
|  3276 | 0.09800 |    0.10907 |
